Region,District,Sub-county,Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric
Western,Buhweju,Bihanga,101,1280,1381,64,903,967
Western,Buhweju,Bitsya,89,1694,1783,66,1237,1303
Western,Buhweju,Burere,181,1759,1940,140,1215,1355
Western,Buhweju,Engaju,255,1617,1872,203,1097,1300
Western,Buhweju,Karungu,66,1604,1670,82,1151,1233
Western,Buhweju,Nsiika Town Council,9,316,325,13,236,249
Western,Buhweju,Nyakishana,93,1734,1827,125,1176,1301
Western,Buhweju,Rwengwe,111,1597,1708,122,1084,1206
Western,Buhweju,Buhweju Total,905,11601,12506,815,8099,8914
Western,Buliisa,Sub-county,133,1603,1736,97,1166,1263
Western,Buliisa,Buliisa,129,1523,1652,119,1041,1160
Western,Buliisa,Buliisa Town Council,30,593,623,41,419,460
Western,Buliisa,Butiaba,397,1743,2140,412,1161,1573
Western,Buliisa,Kigwera,79,1180,1259,105,808,913
Western,Buliisa,Kihungya,84,1316,1400,75,957,1032
Western,Buliisa,Ngwedo,166,1686,1852,133,1236,1369
Western,Buliisa,Buliisa Total,1018,9644,10662,982,6788,7770
Western,Bundibugyo,Bukonzo,90,1033,1123,76,768,844
Western,Bundibugyo,Harugale,140,1184,1324,125,852,977
Western,Bundibugyo,Nduguto,152,1062,1214,104,799,903
Western,Bundibugyo,Ngamba,111,1050,1161,94,775,869
Western,Bundibugyo,Ntotoro,166,925,1091,94,701,795
Western,Bundibugyo,Sindila,103,1060,1163,76,783,859
Western,Bundibugyo,Kasitu,314,1864,2178,287,1308,1595
Western,Bundibugyo,Bubandi,359,1808,2167,233,1380,1613
Western,Bundibugyo,Bubukwanga,414,1928,2342,322,1414,1736
Western,Bundibugyo,Bundibugyo Town Council,192,1704,1896,199,1253,1452
Western,Bundibugyo,Busaru,203,1331,1534,123,1010,1133
Western,Bundibugyo,Kirumya,145,925,1070,90,712,802
Western,Bundibugyo,Kisubba,230,1492,1722,157,1109,1266
Western,Bundibugyo,Mirambi,251,1143,1394,176,840,1016
Western,Bundibugyo,Nyahuka Town Council,257,1548,1805,179,1221,1400
Western,Bundibugyo,Bundibugyo Total,3127,20057,23184,2335,14925,17260
Western,Bushenyi,Central Divison,60,1573,1633,125,1149,1274
Western,Bushenyi,Ishaka Divison,35,1304,1339,62,987,1049
Western,Bushenyi,Nyakabirizi Division,21,823,844,82,572,654
Western,Bushenyi,Bitooma,61,1386,1447,63,977,1040
