Region,District,Sub-county,Attending School (6-12 years),Not attending (6-12 years),Never  been to School (15+ years),Primary (15+ years),Secondary and above (15+ years),Total,Literate (18 + years),Not Literate (18 + years),Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Western,Buhweju,Bihanga,2671,383,1127,4255,1333,6715,3991,1866,101,1280,1381,64,903,967
Western,Buhweju,Bitsya,3234,375,1193,5267,1630,8090,5033,1908,89,1694,1783,66,1237,1303
Western,Buhweju,Burere,3934,460,1819,5572,2049,9440,5693,2523,181,1759,1940,140,1215,1355
Western,Buhweju,Engaju,3545,836,1810,5778,1293,8881,5029,2824,255,1617,1872,203,1097,1300
Western,Buhweju,Karungu,3103,372,1329,4945,1754,8028,5032,1887,66,1604,1670,82,1151,1233
Western,Buhweju,Nsiika T.Council,555,38,159,953,480,1592,1138,228,9,316,325,13,236,249
Western,Buhweju,Nyakishana,3653,443,1600,5594,1652,8846,5586,2106,93,1734,1827,125,1176,1301
Western,Buhweju,Rwengwe,3188,461,1577,4965,2353,8895,5498,2283,111,1597,1708,122,1084,1206
Western,Buhweju,Buhweju Total,23883,3368,10614,37329,12544,60487,37000,15625,905,11601,12506,815,8099,8914
Western,Buliisa,Sub-county,3235,426,1741,4444,1825,8010,3855,3026,133,1603,1736,97,1166,1263
Western,Buliisa,Buliisa,2875,929,2598,4410,1104,8112,3076,4050,129,1523,1652,119,1041,1160
Western,Buliisa,Buliisa Town Council,1304,196,684,1860,1073,3617,1963,1228,30,593,623,41,419,460
Western,Buliisa,Butiaba,3532,870,3511,7670,2448,13629,6998,5119,397,1743,2140,412,1161,1573
Western,Buliisa,Kigwera,2340,428,1403,3896,1550,6849,3461,2502,79,1180,1259,105,808,913
Western,Buliisa,Kihungya,2544,394,1417,3123,1297,5837,2849,2102,84,1316,1400,75,957,1032
Western,Buliisa,Ngwedo,3045,686,2216,4763,1246,8225,3635,3435,166,1686,1852,133,1236,1369
Western,Buliisa,Buliisa Total,18875,3929,13570,30166,10543,54279,25837,21462,1018,9644,10662,982,6788,7770
Western,Bundibugyo,Bukonzo,2210,163,1021,2549,1589,5159,2935,1538,90,1033,1123,76,768,844
Western,Bundibugyo,Harugale,2685,179,922,3229,2063,6214,3592,1783,140,1184,1324,125,852,977
Western,Bundibugyo,Nduguto,2352,241,800,3282,1490,5572,3082,1734,152,1062,1214,104,799,903
Western,Bundibugyo,Ngamba,2233,198,825,2743,1463,5031,2883,1463,111,1050,1161,94,775,869
Western,Bundibugyo,Ntotoro,2028,168,1318,2936,1019,5273,2352,2252,166,925,1091,94,701,795
Western,Bundibugyo,Sindila,2256,269,1004,3105,1301,5410,2773,1910,103,1060,1163,76,783,859
Western,Bundibugyo,Kasitu,4395,298,1909,5719,2528,10156,5950,2921,314,1864,2178,287,1308,1595
Western,Bundibugyo,Bubandi,3969,509,2618,5916,2355,10889,5209,4219,359,1808,2167,233,1380,1613
Western,Bundibugyo,Bubukwanga,4188,459,2844,6388,2605,11837,5539,4754,414,1928,2342,322,1414,1736
Western,Bundibugyo,Bundibugyo Town Council,3145,190,1144,4621,4738,10503,6979,2242,192,1704,1896,199,1253,1452
