YEAR,DISTRICT ,TOTAL CANDIDATES,Total DIV 1,% DIV 1,Total DIV 2,% DIV 2,Total DIV 3,% DIV 3,Total DIV 4,% DIV 4,Total DIV 7,% DIV 7,Total DIV 9,% DIV 9,Total DIV X,% X,FEMALE CANDIDATES,FEMALE TOTAL DIV1 ,FEMALE % DIV1 ,FEMALE TOTAL DIV2 ,FEMALE % DIV2,FEMALE TOTAL DIV3,FEMALE % DIV3,FEMALE TOTAL DIV4,FEMALE % DIV4,FEMALE TOTAL DIV7,FEMALE % DIV7,FEMALE TOTAL DIV9,FEMALE % DIV9,FEMALE TOTAL X,FEMALE % X ,MALE CANDIDATES,MALE TOTAL DIV1 ,MALE % DIV1 ,MALE TOTAL DIV2,MALE % DIV2,MALE TOTAL DIV3,MALE % DIV3,MALE TOTAL DIV4,MALE % DIV4 ,MALE TOTAL DIV7,MALE % DIV7,MALE TOTAL DIV9,MALE % DIV9,MALE TOTAL X,MALE % X
numeric,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
2014,AMUDAT ,51,0,0,3,5.9,10,19.6,30,58.8,0,0,6,11.8,2,3.9,14,0,0,0,0,1,7.1,12,85.7,0,0,1,7.1,0,0,37,0,0,3,8.1,9,24.3,18,48.6,0,0,5,13.5,2,5.4
2014,PADER ,688,48,7,134,19.5,188,27.3,279,40.6,1,0.1,21,3.1,17,2.5,220,7,3.2,43,19.5,51,23.2,106,48.2,0,0,9,4.1,4,1.8,468,41,8.8,91,19.4,137,29.3,173,37,1,0.2,12,2.6,13,2.8
2014,SERERE ,1798,31,1.7,157,8.7,431,24,1001,55.7,2,0.1,155,8.6,21,1.2,769,6,0.8,55,7.2,171,22.2,441,57.3,0,0,86,11.2,10,1.3,1029,25,2.4,102,9.9,260,25.3,560,54.4,2,0.2,69,6.7,11,1.1
2014,RUBIRIZI ,1136,60,5.3,226,19.9,275,24.2,537,47.3,2,0.2,26,2.3,10,0.9,535,12,2.2,69,12.9,124,23.2,306,57.2,1,0.2,17,3.2,6,1.1,601,48,8,157,26.1,151,25.1,231,38.4,1,0.2,9,1.5,4,0.7
2014,MITYANA ,4453,351,7.9,729,16.4,924,20.8,2251,50.6,15,0.3,133,3,50,1.1,2370,134,5.7,374,15.8,502,21.2,1262,53.2,4,0.2,67,2.8,27,1.1,2083,217,10.4,355,17,422,20.3,989,47.5,11,0.5,66,3.2,23,1.1
2014,NWOYA ,340,4,1.2,32,9.4,91,26.8,177,52.1,0,0,31,9.1,5,1.5,90,0,0,2,2.2,21,23.3,53,58.9,0,0,12,13.3,2,2.2,250,4,1.6,30,12,70,28,124,49.6,0,0,19,7.6,3,1.2
2014,NAKASEKE ,1665,54,3.2,210,12.6,361,21.7,943,56.6,1,0.1,82,4.9,14,0.8,882,14,1.6,103,11.7,187,21.2,525,59.5,0,0,47,5.3,6,0.7,783,40,5.1,107,13.7,174,22.2,418,53.4,1,0.1,35,4.5,8,1
2014,BUIKWE ,5426,409,7.5,971,17.9,1188,21.9,2526,46.6,33,0.6,230,4.2,69,1.3,2762,141,5.1,414,15,609,22,1406,50.9,21,0.8,129,4.7,42,1.5,2664,268,10.1,557,20.9,579,21.7,1120,42,12,0.5,101,3.8,27,1
2014,JINJA ,7914,696,8.8,1283,16.2,1588,20.1,3730,47.1,39,0.5,462,5.8,116,1.5,3819,141,3.7,544,14.2,777,20.3,1998,52.3,19,0.5,275,7.2,65,1.7,4095,555,13.6,739,18,811,19.8,1732,42.3,20,0.5,187,4.6,51,1.2
2014,GULU ,3465,191,5.5,662,19.1,911,26.3,1452,41.9,13,0.4,174,5,62,1.8,1379,45,3.3,195,14.1,354,25.7,657,47.6,1,0.1,104,7.5,23,1.7,2086,146,7,467,22.4,557,26.7,795,38.1,12,0.6,70,3.4,39,1.9
2014,MARACHA ,859,9,1,138,16.1,273,31.8,372,43.3,0,0,54,6.3,13,1.5,299,1,0.3,22,7.4,90,30.1,152,50.8,0,0,29,9.7,5,1.7,560,8,1.4,116,20.7,183,32.7,220,39.3,0,0,25,4.5,8,1.4
2014,BUYENDE ,1087,13,1.2,71,6.5,186,17.1,606,55.7,5,0.5,178,16.4,28,2.6,411,2,0.5,10,2.4,59,14.4,258,62.8,2,0.5,71,17.3,9,2.2,676,11,1.6,61,9,127,18.8,348,51.5,3,0.4,107,15.8,19,2.8
2014,KYEGEGWA ,808,22,2.7,94,11.6,150,18.6,441,54.6,2,0.2,88,10.9,11,1.4,335,4,1.2,28,8.4,63,18.8,194,57.9,1,0.3,39,11.6,6,1.8,473,18,3.8,66,14,87,18.4,247,52.2,1,0.2,49,10.4,5,1.1
2014,WAKISO ,29692,5023,16.9,5875,19.8,6609,22.3,11038,37.2,84,0.3,749,2.5,314,1.1,15868,2139,13.5,3033,19.1,3670,23.1,6381,40.2,34,0.2,451,2.8,160,1,13824,2884,20.9,2842,20.6,2939,21.3,4657,33.7,50,0.4,298,2.2,154,1.1
2014,KOLE ,985,85,8.6,150,15.2,297,30.2,405,41.1,1,0.1,43,4.4,4,0.4,374,53,14.2,29,7.8,89,23.8,172,46,0,0,30,8,1,0.3,611,32,5.2,121,19.8,208,34,233,38.1,1,0.2,13,2.1,3,0.5
